"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Kyle Philips","TEN","13.2","207.6","0.6","1.0","5.1","0.0","0.2","31.5"
"Cody Chrest","GB","13.8","168.7","1.1","0.0","8.5","0.0","0.0","31.4"
"David Bell","CLE","12.7","215.1","0.5","0.0","0.3","0.0","0.0","30.6"
"Justin Watson","KC","13.7","179.9","0.9","0.0","0.3","0.0","0.0","30.4"
"Trey Palmer","TB","15.2","184.2","0.5","0.4","2.2","0.0","0.1","28.8"
"Jamal Agnew","JAC","14.6","123.1","0.5","3.7","45.4","0.3","0.1","28.7"
"Trent Sherfield","BUF","11.6","168.3","0.7","0.0","0.8","0.0","0.0","26.7"
"Garett Maag","MIN","12.1","138.0","0.9","0.0","8.2","0.0","0.0","26.3"
"Lynn Bowden Jr.","NO","12.3","136.9","0.7","0.0","15.9","0.1","0.0","26.3"
"Dyami Brown","WAS","11.8","159.2","0.6","0.4","7.2","0.0","0.0","26.0"
"Tre Nixon","NE","10.1","137.5","0.9","0.0","6.3","0.0","0.0","24.8"
"Zach Pascal","ARI","14.0","141.3","0.5","0.1","0.8","0.0","0.0","24.4"
"KhaDarel Hodge","ATL","11.6","123.2","0.9","0.0","4.0","0.0","0.0","23.8"
"Steven Sims Jr.","HOU","9.3","112.2","0.6","0.0","28.0","0.2","0.1","23.5"
"Dee Eskridge","SEA","13.4","111.1","0.5","3.0","20.8","0.1","0.0","23.3"
"Calvin Austin III","PIT","11.3","141.0","0.5","0.3","3.8","0.0","0.1","22.8"
"Greg Ward","PHI","10.0","131.0","0.6","0.0","0.7","0.0","0.0","21.9"
"Trenton Irwin","CIN","13.5","119.0","0.5","0.1","0.7","0.0","0.0","21.8"
"Shi Smith","CAR","10.1","129.1","0.5","0.1","0.9","0.0","0.2","20.9"
"David Moore","TB","8.7","104.1","0.6","0.0","10.4","0.1","0.0","20.2"
"Kendall Hinton","DEN","9.6","105.1","0.5","0.1","5.4","0.0","0.0","18.9"
"Andre Baccellia","ARI","9.1","116.9","0.4","0.0","0.0","0.0","0.0","18.7"
"Tre Tucker","LV","10.1","101.1","0.4","0.3","7.1","0.0","0.1","18.2"
"Phillip Dorsett II","LV","10.7","92.8","0.6","0.1","1.3","0.0","0.0","18.2"
