"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Zach Evans","LAR","RB75","60.9","221.9","1.2","9.3","86.7","0.4","0.5","39.6"
"Justyn Ross","KC","WR109","1.5","9.2","0.1","0.0","366.8","0.2","0.2","39.0"
"Kenyan Drake","IND","RB76","54.7","226.0","1.1","12.6","95.7","0.2","0.5","38.5"
"Corey Clement","ARI","RB77","55.5","202.1","1.7","11.7","79.0","0.2","0.4","38.5"
"Melvin Gordon III","BAL","RB78","56.2","231.5","0.9","11.7","89.2","0.3","0.8","38.0"
"Deuce Vaughn","DAL","RB79","45.4","208.9","1.2","11.2","83.2","0.3","0.5","36.9"
"Eric Gray","NYG","RB80","50.0","212.7","1.1","8.5","71.6","0.4","0.5","36.7"
"Quez Watkins","PHI","WR110","0.8","1.2","0.0","17.6","292.0","1.2","0.2","35.9"
"Luke Schoonmaker","DAL","TE38","0.0","1.5","0.0","23.7","260.1","1.6","0.4","35.1"
"JaMycal Hasty","JAC","RB81","37.1","179.4","1.0","13.1","96.2","0.4","0.4","35.1"
"Braxton Berrios","MIA","WR111","2.3","25.6","0.4","20.1","250.4","0.9","0.3","34.9"
"Tank Dell","HOU","WR112","0.8","4.9","0.1","16.4","290.8","0.7","0.3","33.2"
"Robert Tonyan","CHI","TE39","0.0","0.3","0.0","20.7","233.1","1.6","0.0","33.0"
"Chris Moore","TEN","WR113","1.2","3.2","0.0","24.1","263.2","1.0","0.0","32.9"
"Sean Tucker","TB","RB82","52.9","207.5","0.8","7.1","66.5","0.2","0.3","32.9"
"Ty Montgomery","NE","RB83","39.3","120.5","0.6","19.0","130.0","0.7","0.1","32.4"
"Jauan Jennings","SF","WR114","0.0","0.2","0.0","19.9","257.8","1.1","0.0","32.2"
"Tim Patrick","DEN","WR115","0.0","0.0","0.0","0.0","316.0","0.1","0.0","32.2"
"Royce Freeman","LAR","RB84","15.5","191.9","1.0","10.8","63.8","0.2","0.4","32.0"
"Ke'Shawn Vaughn","TB","RB85","51.7","205.4","1.2","6.3","41.5","0.2","0.6","31.9"
"Xavier Hutchinson","HOU","WR116","1.2","7.4","0.1","0.0","297.8","0.1","0.2","31.3"
"DeeJay Dallas","SEA","RB86","33.1","160.5","0.8","11.1","88.3","0.3","0.1","31.2"
"Jordan Mason","SF","RB87","50.3","229.3","0.8","2.9","34.7","0.1","0.4","31.0"
"Olamide Zaccheaus","PHI","WR117","0.8","2.7","0.0","19.5","244.0","1.2","0.4","30.9"
"Donald Parham Jr.","LAC","TE40","0.0","0.3","0.0","17.9","215.1","1.5","0.0","30.7"
"Marquez Callaway","DEN","WR118","0.0","0.3","0.0","20.9","224.6","1.3","0.0","30.6"
"Kevin Harris","NE","RB88","61.2","207.4","1.1","3.1","31.3","0.1","0.2","30.5"
"Robbie Chosen","MIA","WR119","0.8","5.6","0.0","0.0","291.2","0.2","0.2","30.5"
"Deon Jackson","IND","RB89","44.0","138.1","0.6","17.6","111.5","0.5","0.6","30.4"
"Marquise Goodwin","CLE","WR120","1.2","6.0","0.0","15.8","210.4","1.4","0.0","30.3"
"Ameer Abdullah","LV","RB90","29.3","102.5","0.4","19.3","143.6","0.6","0.4","30.1"
"Kalif Raymond","DET","WR121","0.8","19.6","0.2","16.8","205.4","1.1","0.1","30.0"
"Brock Wright","DET","TE41","0.0","0.3","0.0","17.3","176.7","2.0","0.0","29.9"
"Noah Gray","KC","TE42","0.0","5.7","0.0","20.1","225.2","1.0","0.0","29.4"
"Jordan Akins","CLE","TE43","0.0","0.3","0.0","18.6","225.1","1.2","0.2","29.4"
"Amari Rodgers","IND","WR122","0.3","8.5","0.0","21.0","218.1","1.1","0.1","29.2"
"Jonnu Smith","ATL","TE44","0.0","5.8","0.0","18.5","211.6","1.2","0.0","29.0"
"Hassan Haskins","TEN","RB91","39.6","152.1","0.5","13.0","89.8","0.3","0.2","29.0"
"Noah Brown","HOU","WR123","0.1","0.5","0.0","21.2","235.8","0.9","0.1","28.8"
"Devin Duvernay","BAL","WR124","3.8","41.1","0.2","9.8","199.3","0.6","0.0","28.7"
"Michael Wilson","ARI","WR125","1.2","10.1","0.1","15.1","239.4","0.6","0.1","28.7"
"Charlie Jones","CIN","WR126","0.9","7.0","0.0","17.9","226.1","1.1","0.7","28.6"
"C.J. Uzomah","NYJ","TE45","0.0","0.6","0.0","18.3","199.0","1.4","0.0","28.5"
"Foster Moreau","NO","TE46","0.0","0.3","0.0","16.2","232.9","1.0","0.4","28.4"
"Demarcus Robinson","LAR","WR127","0.0","0.2","0.0","21.9","226.8","1.0","0.1","28.3"
"Will Dissly","SEA","TE47","0.0","0.6","0.0","19.0","215.6","1.1","0.0","28.2"
"Samori Toure","GB","WR128","0.4","3.4","0.0","19.6","214.2","1.1","0.1","28.1"
"DeWayne McBride","MIN","RB92","51.7","172.3","0.8","4.1","55.9","0.1","0.2","28.0"
"Zamir White","LV","RB93","53.5","181.3","1.3","3.1","15.6","0.1","0.1","28.0"
"Evan Hull","IND","RB94","45.7","174.6","0.6","5.2","62.0","0.1","0.2","27.4"
"Cole Beasley","NYG","WR129","0.0","0.5","0.0","17.7","196.8","1.3","0.0","27.4"
"Chris Rodriguez Jr.","WAS","RB95","41.2","170.0","0.8","6.7","49.4","0.1","0.1","27.2"
